datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude 
2003-08-28 02:00:00,honenfels (germany),,,fireball,420,7 minutes,Strange lights appear over the Combat Manuaver Training Center,2003-09-24,49.203278,11.849022
2003-08-28 06:00:00,sanders,az,us,light,180,2-3 minutes,Bright Light Seen at Dawn,2003-09-17,35.2163889,-109.3330556
2003-08-28 06:10:00,apache junction,az,us,disk,60,1 minute,08/28/03  Apache Junction&#44AZ   photo of circular object,2003-09-04,33.415,-111.5488889
2003-08-28 13:30:00,mcclellanville,sc,us,other,180,3 minutes,Slow moving craft,2003-09-04,33.0880556,-79.4613889
2003-08-28 18:30:00,springfield (camp creek road),or,us,oval,900,15 minutes,Large oblong Bright &amp; Colorfully Lite Up With No Sound Flew Right Above The Trees.,2013-02-18,44.0463889,-123.0208333
2003-08-28 20:00:00,glenburn,me,,other,900,10-15 minutes,It was very fast&#44round&#44with a orange/yellowish clow &amp; very bright,2003-09-04,44.916862,-68.845746
2003-08-28 20:30:00,enderby (canada),bc,ca,light,120,approx: 2 minutes,HBCCUFO CANADIAN REPORT:  I saw a white light in the sky&#44 it went from a medium size to big to very tiny.,2003-09-09,50.55,-119.133333
2003-08-28 21:04:00,fort smith,ar,us,light,20,20 seconds,Bright Orange Lights with Rapid-Shift Right to Left,2003-09-04,35.3858333,-94.3983333
2003-08-28 21:15:00,sacramento,ca,us,cigar,60,45-60 seconds,possibly disk shaped craft with changeing colored lights in a horizontal row.,2003-09-04,38.5816667,-121.4933333
2003-08-28 21:30:00,maple (canada),on,ca,light,60,1 minute,star flying across the sky&#44 moving like a snake.,2003-09-04,43.8666667,-79.5
2003-08-28 21:45:00,eunice,la,us,light,300,5 min.,I was returning from town to my farm located 4 miles NE of Eunice.  I turned north off of the main Hwy. and as I cleared some trees to,2003-09-04,30.4941667,-92.4175
2003-08-28 22:10:00,nastola (finland),,,changing,300,5 minutes,The object changed shape rapidly&#44 and was surrounded with a bluish haze. It moved very fast&#44 before it stopped for a few minutes&#44 and t,2003-09-04,60.948103,25.933712
2003-08-28 22:30:00,milton,fl,us,cigar,45,45seconds,08/28/03   10:30pm object appeared  houvered&#44pulsated&#44and blinked while it rotated for 30 to 40 sec. then disappered,2003-09-04,30.6322222,-87.0397222
2003-08-28 23:00:00,coldwater,mi,us,unknown,2,2 seconds,The wings of the craft emmitted a low intencity green light&#44 and the craft flew low&#44 slow&#44 and silent.,2003-10-31,41.9402778,-85.0005556
2003-08-28 23:00:00,deckers (4 mi. south of),co,us,light,2,one &amp; a half hours,Bright light with smaller lights over mountains near Deckers observed for over an hour.,2005-02-24,39.2547222,-105.2263889
2003-08-28 23:00:00,kingman,az,us,triangle,300,5 minutes,Triangular shape craft with diamond shape lights,2003-09-04,35.1894444,-114.0522222
2003-08-28 23:00:00,montebello,ca,us,light,3600,about 1 hour,Bright red light in the skies over Los Angeles - stationary at first&#44 then blinking in morse-code,2003-09-04,34.0094444,-118.1044444
2003-08-28 23:00:00,new york city (brooklyn),ny,us,teardrop,120,1-2 minutes,teardrop shaped craft with 3 steady lights underneath,2003-09-04,40.7141667,-74.0063889
2003-08-28 23:00:00,sandstone,mn,us,circle,120,1 1/2 minutes,I saw a very bright red cirucular shaped object travel jerk through the sky,2003-09-04,46.1311111,-92.8672222
2003-08-28 23:00:00,st. laurent (canada),mb,,unknown,120,several minutes,HBCCUFO CANADIAN REPORT:  St. Laurent&#44 Manitoba&#44 Lights And Creature.,2003-09-28,50.413532,-97.940939
2003-08-28 23:15:00,austin,tx,us,light,25,20/25seconds,5 pure white lights&#44 long cylinder moving fast,2003-09-04,30.2669444,-97.7427778
2003-08-28 23:30:00,evansville,in,us,other,180,2-3 minutes,Our family had gone to bed for the night&#44 when my daughter entered my bedroom and expressed concerned over an outside &quot;light&quot; that was,2003-09-04,37.9747222,-87.5558333
2003-08-28 23:30:00,hollywood,ca,us,triangle,60,1min &amp; a half,On Thursday Aug 28 at or about 11:30 pm as my Mom and I were driving on the 101 fwy north between the Rampart and Silverlake blvd.We su,2003-09-04,34.0983333,-118.3258333
2004-08-28 18:30:00,piscataquis county,me,,circle,30,10-30 seconds,Well&#44 I was watching TV&#44 when I looked out my window (which is somewhat of a bay window) and saw a lowflying circular metallic object m,2004-09-01,45.704986,-69.337507
2004-08-28 19:45:00,tacoma/spanway,wa,,light,600,5 to 10 min,Silver and Gold balls of light,2004-09-01,47.136386,-122.434634
2004-08-28 21:30:00,raleigh,nc,us,light,900,fifteen minutes,Dim&#44 sporadic&#44 fast moving lights over park,2004-09-01,35.7719444,-78.6388889
2005-08-28 00:30:00,fort mcmurray (canada),ab,ca,formation,1800,30 mins to hour,Formations of red lights flying across night sky.,2005-09-02,56.733333,-111.383333
2005-08-28 06:25:00,hinton,ok,us,oval,20,20 sec,Bright oval fast moving object&#44 seen moving across the dark sky&#44 unlike falling star cause it could be seen moving through clouds.,2005-09-02,35.4713889,-98.3552778
2005-08-28 09:45:00,riverside,ca,us,chevron,300,5 minutes,Arrowhead seen above 215 freeway near Riverside Ca.,2005-10-11,33.9533333,-117.3952778
2005-08-28 15:00:00,claude,tx,us,,60,1 minute,I don&#39t know if these are UFO&#39s or not.  I took this pic and recently looked at it closely for the first time.  There are some objects,2006-02-14,35.1116667,-101.3627778
2005-08-28 17:00:00,los angeles,ca,us,changing,300,5 minute,the object  is bright moving up and down with high speed.,2005-10-11,34.0522222,-118.2427778
2005-08-28 19:40:00,so. farmingdale,ny,,oval,1800,30 minutes,It was Sunday the 28th of Aug. at 7:40PM. I was with my family out in my parents back yard in Farmingdale NY talking with my girlfr,2005-09-02,40.7326,-73.445401
2005-08-28 23:30:00,wauconda,wa,us,light,900,15 min,BRIGHT STAR LIKE OBJECT ON HORIZION. MOVED VERY RAPIDLY AND STOP IN POSITION INSTANTLY,2005-10-11,48.7258333,-119.0125
2006-08-28 00:30:00,grass valley,ca,us,diamond,360,three times&#442 minutes eac,Three objects&#44  four lights each.  moved slowly and silently.,2006-10-30,39.2191667,-121.06
2006-08-28 02:30:00,aydin (turkey),,,diamond,180,3 min,shining point moves like a crazy,2006-10-30,37.856041,27.841631
2006-08-28 05:55:00,suffolk,va,us,flash,15,15 seconds,At approximately 5:55 AM I was traveling on US-460 Westinto downtown Suffolk to get gas.  As I passed Starr Motors&#44 I noticed a bright,2006-10-30,36.7280556,-76.5838889
